timestamp,co2,pm25,pm10,temperature,humidity
2025-05-03T02:12:46.102Z,101,0,0,0,0
2025-05-03T02:12:46.338Z,101,0,0,24.9,0
2025-05-03T02:12:46.339Z,101,0,0,24.9,19
2025-05-03T02:12:46.340Z,101,NaN,0,24.9,19
2025-05-03T02:12:46.342Z,101,NaN,NaN,24.9,19
2025-05-03T02:12:48.226Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:48.455Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:48.456Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:48.455Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:48.456Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:50.355Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:50.612Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:50.613Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:50.613Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:50.613Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:52.490Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:52.804Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:52.804Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:52.814Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:52.814Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:54.619Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:55.023Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:55.022Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:55.023Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:55.023Z,108,NaN,NaN,24.9,19
2025-05-03T02:12:56.787Z,109,NaN,NaN,24.9,19
2025-05-03T02:12:56.790Z,109,0,0,0,0
2025-05-03T02:12:57.096Z,109,NaN,NaN,24.9,19
2025-05-03T02:12:57.097Z,109,NaN,NaN,24.9,19
2025-05-03T02:12:57.096Z,109,NaN,NaN,24.9,19
2025-05-03T02:12:57.097Z,109,NaN,NaN,24.9,19
2025-05-03T02:12:57.096Z,109,0,0,24.9,0
2025-05-03T02:12:57.099Z,109,0,0,24.9,19
2025-05-03T02:12:57.100Z,109,NaN,0,24.9,19
2025-05-03T02:12:57.100Z,109,NaN,NaN,24.9,19
2025-05-03T02:12:59.211Z,101,NaN,NaN,24.9,19
2025-05-03T02:12:59.211Z,101,NaN,NaN,24.9,19
2025-05-03T02:12:59.212Z,101,NaN,NaN,24.9,19
2025-05-03T02:12:59.212Z,101,NaN,NaN,24.9,19
2025-05-03T02:12:59.213Z,101,NaN,NaN,24.9,19
2025-05-03T02:12:59.213Z,101,NaN,NaN,24.9,19
2025-05-03T02:12:59.213Z,101,NaN,NaN,24.9,19
2025-05-03T02:12:59.212Z,101,NaN,NaN,24.9,19
2025-05-03T02:12:59.211Z,101,NaN,NaN,24.9,19
2025-05-03T02:12:59.212Z,101,NaN,NaN,24.9,19
2025-05-03T02:13:01.057Z,109,NaN,NaN,24.9,19
2025-05-03T02:13:01.076Z,109,NaN,NaN,24.9,19
2025-05-03T02:13:01.285Z,109,NaN,NaN,24.9,19
2025-05-03T02:13:01.285Z,109,NaN,NaN,24.9,19
2025-05-03T02:13:01.286Z,109,NaN,NaN,24.9,19
2025-05-03T02:13:01.286Z,109,NaN,NaN,24.9,19
2025-05-03T02:13:01.295Z,109,NaN,NaN,24.9,19
